name,ein,city,state,website,phone,formatted_address,place_id
LILLY ENDOWMENT INC,350868122,INDIANAPOLIS,IN,http://www.lillyendowment.org/,(317) 924-5471,2801 N Meridian St, Indianapolis, IN 46208, USA,ChIJ1UM8ED1Ra4gRjyGJRmyZLoE
LONGWOOD FOUNDATION INC,510066734,WILMINGTON,DE,http://www.longwoodfoundation.com/,(302) 683-8200,100 W 10th St #1109, Wilmington, DE 19801, USA,ChIJLUUIZkD9xokRAWMvPkSnUhE
AHIMSA FOUNDATION,852700743,NIWOT,CO,https://ahimsaservices.net/,(720) 691-9668,357 McCaslin Blvd #200, Louisville, CO 80027, USA,ChIJ_YezIKLza4cRYUOVR9lNLUk
NEW BRUNSWICK DEVELOPMENT CORPORATION,222104766,NEW BRUNSWICK,NJ,http://devco.org/,(732) 249-2220,Tower 1, 120 Albany St Ste B, New Brunswick, NJ 08901, USA,ChIJC43uOFHGw4kR_6xtxwSeH5w
LYNDE AND HARRY BRADLEY FOUNDATION INC,396037928,MILWAUKEE,WI,http://www.bradleyfdn.org/,(414) 291-9915,1400 N Water St Suite 300, Milwaukee, WI 53202, USA,ChIJiQA5AQMZBYgRwT1Xvu_jxxE
EAGLE FOUNDATION,470773892,OMAHA,NE,https://eagles.org/,(865) 429-0157,510 Kodak Rd, Kodak, TN 37764, USA,ChIJHZm06wkJXIgRCfB3-cFDhTE
GENE HAAS FOUNDATION,954724825,OXNARD,CA,https://ghaasfoundation.org/,(805) 278-8520,2800 Sturgis Rd, Oxnard, CA 93030, USA,ChIJD8dL_FJJ6IARwh7_ITalGX0
SHERWOOD FOUNDATION,470824755,OMAHA,NE,https://www.sherwoodfoundation.org/,(402) 341-1717,808 Conagra Dr Ste 200, Omaha, NE 68102, USA,ChIJ_dZammiOk4cRzqN7Fy87Buk
JAMES M COX FOUNDATION OF GA INC,586032469,ATLANTA,GA,https://www.coxenterprises.com/,(678) 645-0000,6205-B Peachtree Dunwoody Rd NE, Atlanta, GA 30328, USA,ChIJq_dTblIJ9YgRcWE5O9mwFVk
COMMUNITY FINANCE CORPORATION,860683138,TUCSON,AZ,https://www.communityfinancecorp.org/contact-us/,(520) 623-3377 ext. 122,333 N Wilmot Rd, Tucson, AZ 85711, USA,ChIJ__8vHKFv1oYR52cP_vk4ink
GEORGE S ECCLES AND DELORES DORE ECCLES FOUNDATION,876118245,SALT LAKE CTY,UT,http://gsecclesfoundation.org/,(801) 246-5340,79 S Main St #1400, Salt Lake City, UT 84111, USA,ChIJ_-IMMw_1UocRrtl7knD0VuU
PIVOTAL PHILANTHROPIES OPPORTUNITY FOUNDATION,934378098,REDMOND,WA,http://www.opportunityfound.org/,(541) 548-2611,835 OR-126, Redmond, OR 97756, USA,ChIJ4a5qy88qv1QROtr91A-aVVg
PIVOTAL PHILANTHROPIES MOMENTUM FOUNDATION,934400793,REDMOND,WA,https://pivotalbuild.com/,(425) 728-0261,8201 164th Ave NE, Redmond, WA 98052, USA,ChIJTzKfQ_RzkFQRkRpdaa7hh94
CYRUS TANG FOUNDATION,880361180,LAS VEGAS,NV,http://cyrustangfoundation.org/,,8960 Spanish Ridge Ave, Las Vegas, NV 89148, USA,ChIJBW5iRJy4yIARFZlOgRn6n1E
WILLIAM RANDOLPH HEARST FOUNDATION,136019226,NEW YORK,NY,http://www.hearstfdn.org/,(212) 649-2000,300 W 57th St #26, New York, NY 10019, USA,ChIJf_YWclhYwokRP5wslXwdViw
JACK KENT COOKE FOUNDATION,541896244,LANSDOWNE,VA,http://jkcf.org/,(703) 723-8000,44325 Woodridge Pkwy, Lansdowne, VA 20176, USA,ChIJI5yFsgs8tokRIuumpA08GFI
LILIUOKALANI TRUST,990078890,HONOLULU,HI,http://onipaa.org/,(808) 203-6150,1100 Alakea St #1100, Honolulu, HI 96813, USA,ChIJKS6zBHVuAHwRRHSLFp3r_yc
RAINWATER CHARITABLE FOUNDATION,800870036,FORT WORTH,TX,http://northtexascf.org/,(817) 877-0702,777 Main St Ste 2850, Fort Worth, TX 76102, USA,ChIJuVB2KEBxToYRRkVlMY7ER9M
THE BILL GATTON FOUNDATION,621266284,BRISTOL,TN,https://www.etsu.edu/pharmacy/,(423) 439-6300,Maple Ave, Mountain Home, TN 37684, USA,ChIJCwDzFc98WogRPjBedvNztFk
COMMONWEALTH FUND,131635260,NEW YORK,NY,http://www.commonwealthfund.org/,(212) 606-3800,1 E 75th St, New York, NY 10021, USA,ChIJv35cgpRYwokRknjwnk9b_b0
OVERDECK FAMILY FOUNDATION,264377643,NEW YORK,NY,http://www.philanthropynewyork.org/,(212) 714-0699,320 E 43rd St, New York, NY 10017, USA,ChIJZ5cLz05ZwokRd4Ffw75i0kk
PACKARD HUMANITIES INSTITUTE,943038401,LOS ALTOS,CA,,(650) 948-0150,300 2nd St, Los Altos, CA 94022, USA,ChIJ_ZkQneWwj4ARQ8KwGUKe8G8
HORIZON HOUSING FOUNDATION,742979359,SAINT LOUIS,MO,http://www.horizonhousingonline.org/,(314) 269-0809,23 N Gore Ave, St. Louis, MO 63119, USA,ChIJG03Wir7K2IcR2gPhFACLA7Q
WEINGART FOUNDATION,956054814,LOS ANGELES,CA,http://weingartfnd.org/,(213) 688-7799,700 Flower St #1900, Los Angeles, CA 90017, USA,ChIJzWyXZrDHwoARfTuHeV3XfJg
ART BRIDGES INC,810842855,BENTONVILLE,AR,http://www.artbridgesfoundation.org/,,850 Museum Way, Bentonville, AR 72712, USA,ChIJl0wq7TobyYcRnxvbkzHFQf4
MEYER MEMORIAL TRUST,930806316,PORTLAND,OR,http://www.mmt.org/,(503) 228-5512,2045 N Vancouver Ave, Portland, OR 97227, USA,ChIJ8zRjXv8JlVQR1fahpUTKSz0
THE CENTURION FOUNDATION INC,582235068,ATLANTA,GA,http://thecenturions.com/,(520) 795-1071,5049 E Broadway Blvd Ste 135, Tucson, AZ 85711, USA,ChIJVVVVnEdu1oYRGne7zVKZvG4
THE RALPH C WILSON JR FOUNDATION,450921232,DETROIT,MI,https://www.ralphcwilsonjrfoundation.org/,(313) 885-1895,3101 E Grand Blvd Ste 200, Detroit, MI 48202, USA,ChIJh0RXaJvSJIgRDDltMGDyE1s
ENDLESS SUCCESS FOUNDATION INC,472791355,INDIANAPOLIS,IN,http://www.christelhouse.org/,(317) 464-2030,2960 N Meridian St Ste 170, Indianapolis, IN 46208, USA,ChIJU6e1ArxQa4gRGGa2z-ceg3w
SOBRATO FAMILY FOUNDATION,770348912,MOUNTAIN VIEW,CA,http://sobrato.com/,(650) 876-7010,599 Castro St 4th floor, Mountain View, CA 94041, USA,ChIJV1s56zK3j4ARUxG5l_caS5Y
BETTY WOLD JOHNSON FOUNDATION,834428102,WEST PALM BCH,FL,http://www.jsf.bz/,(561) 659-2005,1 N Clematis St Ste. 307, West Palm Beach, FL 33401, USA,ChIJBXdtrIvW2IgRJ1xqYmDDyXo
WILLIAM AND BARBARA MARTIN FOUNDATION,932687518,LOS ANGELES,CA,https://www.weismanfoundation.org/,(310) 867-5772,265 N Carolwood Dr, Los Angeles, CA 90077, USA,ChIJg8Xpaiq9woARPFc05GErkVI
BURROUGHS WELLCOME FUND,237225395,RTP,NC,http://www.bwfund.org/,(919) 991-5100,21 T.W. Alexander Drive, Research Triangle Park, NC 27709, Durham, NC 27703, USA,ChIJt7h96lPlrIkRrA0c6gor9dY
SKOLL FOUNDATION,113659133,SAN FRANCISCO,CA,https://skoll.org/,(650) 331-1031,250 University Ave Ste 200, Palo Alto, CA 94301, USA,ChIJ6fl56Tm7j4ARbvI_fbye-7U
RASMUSON FOUNDATION,916340739,ANCHORAGE,AK,http://www.rasmuson.org/,(907) 297-2700,301 W Northern Lights Blvd #601, Anchorage, AK 99503, USA,ChIJEw9afs-XyFYRKIYsRJJKEeU
ROBERT B DAUGHERTY FOUNDATION,363766006,OMAHA,NE,http://www.daughertyfdn.org/,(402) 933-4663,15000 Valmont Plz Ste 202, Omaha, NE 68154, USA,ChIJJWtNKxPyk4cRIsm9OTbXGfs
THE ROBERT D AND PATRICIA E KERN FAMILY FOUNDATION INC,391923558,WAUKESHA,WI,http://www.kffdn.org/,(262) 968-6838,W305S4239 Brookhill Rd, Waukesha, WI 53189, USA,ChIJu5v69aOoBYgRUFql3NJWcOQ
JOHN E FETZER INSTITUTE INC,386052788,KALAMAZOO,MI,http://www.fetzer.org/,(269) 375-2000,9292 W KL Ave, Kalamazoo, MI 49009, USA,ChIJtYYFRFFwF4gR1n47XDKKW6Q
HORACE W GOLDSMITH FOUNDATION,136107758,NEW YORK,NY,http://www.hfg.org/,(646) 428-0971,120 W 45th St, New York, NY 10036, USA,ChIJ7RegYvlYwokRZ92Z433rnUw
ED RACHAL FOUNDATION,741116595,CORP CHRISTI,TX,http://www.edrachal.org/,(361) 881-9040,555 N Carancahua St #700, Corpus Christi, TX 78401, USA,ChIJixsG5fReaIYRnlNtdq_nO9c
THE HEISING-SIMONS FOUNDATION,260799587,LOS ALTOS,CA,https://www.hsfoundation.org/,(650) 887-0277,400 Main St Ste 200, Los Altos, CA 94022, USA,ChIJbbgGJ_Cwj4ARXWXumrlzmW0
LINCOLN INSTITUTE OF LAND POLICY,866021106,PHOENIX,AZ,https://www.lincolninst.edu/,(602) 393-4300,11010 N Tatum Blvd Suite D-101, Phoenix, AZ 85028, USA,ChIJeaEL2oRzK4cR_8TPK_T92zY
J E AND L E MABEE FOUNDATION INC,736090162,MIDLAND,TX,https://mabeefoundation.com/,(432) 848-4260,6 Desta Dr Suite 5400, Midland, TX 79705, USA,ChIJRRpkgbzY-4YRfG7OH2SlIOs
JEROME L GREENE FOUNDATION INC,132960852,NEW YORK,NY,http://jlgreene.org/,(212) 688-1550,146 Central Prk W #1e, New York, NY 10023, USA,ChIJ7StcJYxYwokRFaaChxxH7To
BROAD ART FOUNDATION,954664939,LOS ANGELES,CA,https://www.thebroad.org/,(213) 232-6200,221 S Grand Ave, Los Angeles, CA 90012, USA,ChIJXaYsEk3GwoARvx7RKBUE8Zg
ARNOLD AND MABEL BECKMAN FOUNDATION,953169713,IRVINE,CA,http://www.beckman-foundation.org/,(949) 531-0400,100 Academy Wy, Irvine, CA 92617, USA,ChIJVfhuWhXe3IARDMu_NNkwtQg
LARRY H MILLER & GAIL MILLER FAMILY FOUNDATION,510641922,SANDY,UT,https://ymcautah.org/,(801) 466-6299,575 Lockwood Dr, Ogden, UT 84404, USA,ChIJwVwtAW4MU4cRUFZeQwlmlT4
CRAWFORD TAYLOR FOUNDATION,431790817,SAINT LOUIS,MO,https://www.crawfordtaylorfoundation.org/,(314) 512-4283,600 Corporate Park Dr, St. Louis, MO 63105, USA,ChIJqYfw6i_L2IcRiE3fdg-FTc4
DEAN & BARBARA WHITE FAMILY FOUNDATION INC,352015808,MERRILLVILLE,IN,http://www.dbwfamilyfoundation.org/,(219) 680-1304,701 E 83rd Ave, Merrillville, IN 46410, USA,ChIJfUkIfZrvEYgRdaq1eAqNCts
H E BUTT FOUNDATION,741239819,KERRVILLE,TX,http://hebfdn.org/,(830) 315-9200,719 Earl Garrett St, Kerrville, TX 78028, USA,ChIJizO0rd_iW4YRuCYDAw7MpJQ
JESUS FUND,861108441,LITTLE ROCK,AR,http://www.methodistfoundationar.org/,(501) 664-8632,601 Wellington Village Rd, Little Rock, AR 72211, USA,ChIJQz1uuVuh0ocRup_ZdM7LYR0
KIMBELL ART FOUNDATION,756036226,FORT WORTH,TX,https://kimbellart.org/,(817) 332-8451,3333 Camp Bowie Blvd, Fort Worth, TX 76107, USA,ChIJB_3ggMJzToYREMUp1SYmeWQ
CHARLES KOCH FOUNDATION,480918408,ARLINGTON,VA,https://www.charleskochfoundation.org/,(703) 875-1770,1320 N Courthouse Rd Ste 500, Arlington, VA 22201, USA,ChIJESOk32G2t4kRvQno8P9MNJk
JOHN BULOW CAMPBELL FOUNDATION,580566149,ATLANTA,GA,http://jbcf.org/,(404) 658-9066,4401 Northside Pkwy NW Suite 950, Atlanta, GA 30327, USA,ChIJJZRnSBcQ9YgRwVHE_bufKKM
BAINUM FAMILY FOUNDATION,237000192,WASHINGTON,DC,http://bainumfdn.org/,(240) 450-0000,1401 H St NW Ste 650, Washington, DC 20005, USA,ChIJaVlNxY7Ft4kRdwrQhQ9Xj8g
PUFFIN BAY FOUNDATION,991989779,BIDDEFORD,ME,http://www.puffinfoundation.org/,(201) 836-3400,20 Puffin Way, Teaneck, NJ 07666, USA,ChIJpaTJhkv3wokRCkSxqPXOd3o
C D SPANGLER FOUNDATION INC,566061548,CHARLOTTE,NC,,(704) 372-4500,1110 E Morehead St, Charlotte, NC 28204, USA,ChIJpyEXoo-fVogRxAGkwk19CBQ
POSES FAMILY FOUNDATION,206375470,FLORHAM PARK,NJ,http://cfnj.org/,(973) 267-5533,35 Knox Hill Rd, Morristown, NJ 07960, USA,ChIJaSgE406hw4kRo4fazfMUwB4
ENDEAVOUR LEGACY FOUNDATION,831934407,RICHMOND,VA,http://www.cfrichmond.org/,(804) 330-7400,3409 W Moore St, Richmond, VA 23230, USA,ChIJTeL42OgSsYkRYW4tT-62WYE
JOHN H AND REGINA K SCULLY FOUNDATION,462014396,SAN RAFAEL,CA,http://www.youthinarts.org/,(415) 457-4878,917 C St, San Rafael, CA 94901, USA,ChIJm8oTZPqZhYARNm7PaIvxSmI
HAPLOTACE FOUNDATION,631182139,BIRMINGHAM,AL,https://fulllifeahead.org/,(205) 541-8891,2716 Commerce Square E, Birmingham, AL 35210, USA,ChIJsY1dwLUbiYgRTAJhmoESYLc
AMGEN SAFETY NET FOUNDATION,223850021,THOUSAND OAKS,CA,http://amgen.com/,(805) 447-1000,1 Amgen Center Dr, Thousand Oaks, CA 91320, USA,ChIJv5tFWZow6IARRLo7yVYgWYM
JOHN A HARTFORD FOUNDATION,131667057,NEW YORK,NY,http://johnahartford.org/,(212) 832-7788,55 E 59th St 16th Floor, New York, NY 10022, USA,ChIJubjX_u9YwokR0RzZT1DiXZo
HOWARD G BUFFETT FOUNDATION,470824756,DECATUR,IL,https://www.thehowardgbuffettfoundation.org/,(217) 420-5140,145 N Merchant St #1, Decatur, IL 62523, USA,ChIJq4RhHjqwdIgRjnKh-Lj52Dg
MEADOWS FOUNDATION INCORPORATED,756015322,DALLAS,TX,https://www.mfi.org/,(214) 826-9431,3003 Swiss Ave, Dallas, TX 75204, USA,ChIJ9dJco9uYToYRcxTbmX99Ko8
JOSEPH B WHITEHEAD FOUNDATION,586001954,ATLANTA,GA,http://jbwhitehead.org/contact/,(404) 522-6755,Peachtree Tower, 191 Peachtree St, Atlanta, GA 30303, USA,ChIJ--JXbXgE9YgRIJ1wrV74lOc
KLARMAN FAMILY FOUNDATION,043105768,BOSTON,MA,https://www.hbs.edu/about/campus-and-culture/campus-built-on-philanthropy/klarman-hall,(617) 495-6000,Soldiers Fld Rd, Boston, MA 02163, USA,ChIJdepUjER344kRTxHme5oZVmI
SHUBERT FOUNDATION INC,136106961,NEW YORK,NY,https://www.shubertfoundation.org/contact,(212) 944-3777,234 W 44th St, New York, NY 10036, USA,ChIJszpFjFRYwokRZKx0OTR1O60
DAN L DUNCAN FAMILY FOUNDATION,200265572,HOUSTON,TX,http://www.mdanderson.org/,(713) 745-3658,1155 Pressler St, Houston, TX 77030, USA,ChIJ-QiiBXPAQIYRvGg-k4GN6Xg
PERENCHIO FOUNDATION,450607892,PASADENA,CA,http://www.pasadenacf.org/,(626) 796-2097,301 E Colorado Blvd #810, Pasadena, CA 91101, USA,ChIJlbni0bFK4BQRHGDSv9eNADk
ANNENBERG FOUNDATION TRUST AT SUNNYLANDS,256774871,RANCHO MIRAGE,CA,https://sunnylands.org/,(760) 202-2222,37977 Bob Hope Dr, Rancho Mirage, CA 92270, USA,ChIJXR8og_P92oARShEE9skvUPA
MANTON FOUNDATION,133636372,NEW YORK,NY,http://www.nyf.org/,(212) 594-8009,150 W 30th St, New York, NY 10001, USA,ChIJaXQRs6lZwokRoMNSShSS4xk
FLATLEY FOUNDATION,042763837,BRAINTREE,MA,http://www.flatleyco.com/,(781) 848-2000,45 Braintree Hill Office Pk #300, Braintree, MA 02184, USA,ChIJq2vnihh944kR28RsWQtpgSE
GOLDMAN SACHS FOUNDATION,311678646,NEW YORK,NY,http://www.goldmansachs.com/,(212) 902-1000,200 West St, New York, NY 10282, USA,ChIJz_oecoJZwokRxMoWTr5V-zY
THE MA-RAN FOUNDATION,586263945,ATLANTA,GA,https://www.rowenlife.com/,,279 W Crogan St, Lawrenceville, GA 30046, USA,ChIJw_CiXFW_9YgRVYWgtCF2gRI
SHERMAN FAIRCHILD FOUNDATION INC,131951698,CHEVY CHASE,MD,,(301) 913-5990,5454 Wisconsin Ave, Chevy Chase, MD 20815, USA,ChIJhU77lZDJt4kR734fVrw_kDU
PINKERTON FOUNDATION,136206624,NEW YORK,NY,http://thepinkertonfoundation.org/,(212) 332-3385,610 5th Ave #316, New York, NY 10020, USA,ChIJNYsHqv5YwokRDKBGcAHuyQU
HOLLYHOCK FOUNDATION INC,542091336,NEW YORK,NY,http://www.dorisduke.org/,(212) 974-7000,444 Madison Ave 10th floor, New York, NY 10022, USA,ChIJbSa2Y_pYwokRkJ13TLtJwiE
AURORA FOUNDATION,367634806,WILMINGTON,DE,http://www.aurorafoundation.com.au/,(02) 9310 8400,10 James St, Waterloo NSW 2017, Australia,ChIJJY9kRMWxEmsR933K7oxREEk
SUSQUEHANNA FOUNDATION,232732477,BALA CYNWYD,PA,https://www.sig.com/,(610) 617-2600,401 City Ave Ste 220, Bala Cynwyd, PA 19004, USA,ChIJcWh7OJ24xokRFjdM5BnKO2I
ENGELSTAD FAM FOUNDATION,806008137,LAS VEGAS,NV,https://engelstadfoundation.com/esf/,,11105 W Flamingo Rd, Las Vegas, NV 89135, USA,ChIJDxgmwX6_yIAR29odHSVARpM
REES-JONES FOUNDATION,205132900,DALLAS,TX,https://www.rees-jonesfoundation.org/,(214) 751-2977,8111 Westchester Dr #950, Dallas, TX 75225, USA,ChIJeW_vDUOeToYRNCFpYqHxgOM
CALL TO ACTION FOUNDATION,882726669,SALT LAKE CTY,UT,https://www.utahca.org/,(801) 359-2444,1307 S 900 W, Salt Lake City, UT 84104, USA,ChIJw5n90sT0UocROXh_VmjApus
SPENCER FOUNDATION,366078558,CHICAGO,IL,https://www.spencer.org/,(312) 337-7000,625 N Michigan Ave #1600, Chicago, IL 60611, USA,ChIJv6X3gqwsDogRTwxRp0-byJs
RIVIAN FOUNDATION,873878063,IRVINE,CA,http://rivian.com/?utm_medium=local-listing&utm_source=extnet&utm_campaign=yext&utm_content=OFFICE20,(888) 748-4261,14600 Myford Rd, Irvine, CA 92606, USA,ChIJxTm-OGPd3IARrWdVJRbh6g0
MARION AND HENRY BLOCH FAMILY FOUNDATION,454047901,KANSAS CITY,MO,http://blochfamilyfoundation.org/,(816) 854-4363,4801 Main St Ste 400, Kansas City, MO 64112, USA,ChIJq6qq6ljwwIcRf-Ir5ZxyWuY
FREEDOM FORUM INC,541604427,WASHINGTON,DC,http://www.freedomforum.org/,(202) 292-6100,610 Water St SW, Washington, DC 20024, USA,ChIJh6P0dIW3t4kRiSztSmHVhSg
A GOOD NAME FOUNDATION INC,581375066,ATLANTA,GA,http://agfoundationllc.wixsite.com/home,(678) 820-9258,1678 Ezra Church Dr NW, Atlanta, GA 30314, USA,ChIJxRj65VUb9YgRyeqkuAIbmO4
HERBERT H & GRACE A DOW FOUNDATION,381437485,MIDLAND,MI,https://hhgadowfdn.org/,(989) 631-2471,1018 W Main St, Midland, MI 48640, USA,ChIJDbathzvVI4gRVFn69BykmHQ
KENNETH RAININ FOUNDATION,943289283,OAKLAND,CA,https://krfoundation.org/,(510) 625-5200,155 Grand Ave #1000, Oakland, CA 94612, USA,ChIJ9bYRXk2Hj4ARA_s7MdlwCj0
MORRIS AND GWENDOLYN CAFRITZ FOUNDATION,526036989,WASHINGTON,DC,http://www.cafritzfoundation.org/,(202) 223-3100,1825 K St NW #600, Washington, DC 20006, USA,ChIJReJ2bLe3t4kRaoYawhGSBXU
HOWARD GILMAN FOUNDATION INC,133097486,NEW YORK,NY,http://howardgilmanfoundation.org/,(212) 408-0400,24 W 40th St 8th floor, New York, NY 10018, USA,ChIJG8pK6v5YwokR7Ot1CUehTRQ
HELLMAN FOUNDATION,611583546,SAN FRANCISCO,CA,http://www.hellmanfoundation.org/contact-us.html,(415) 837-5408,595 Market St #820, San Francisco, CA 94105, USA,ChIJlSdb4_CAhYAR8d6GLQVmVd0
TERRA FOUNDATION FOR AMERICAN ART,362999442,CHICAGO,IL,http://www.terraamericanart.org/,(312) 664-3939,120 E Erie St, Chicago, IL 60611, USA,ChIJk0Umfvp0XUARepLd3bT1Rbg
ROBERT A WELCH FOUNDATION 062491,760343128,HOUSTON,TX,https://welch1.org/,,1717 W Loop S #1661, Houston, TX 77027, USA,ChIJZxONCJjBQIYRmlAAhu5z4M8
ESSEX AVENUE FOUNDATION,851891431,WILMINGTON,DE,http://www.kffde.org/,(302) 319-4665,501 S Walnut St, Wilmington, DE 19801, USA,ChIJ95G6IWH9xokRhFtfgvIpvOM
NEGAUNEE FOUNDATION LTD,363555046,NORTHBROOK,IL,https://www.chicagobotanic.org/research,,1000 Lake Cook Rd, Glencoe, IL 60022, USA,ChIJG8v8Bx7BD4gRm4huEp-qaTM
THE GRANTHAM FOUNDATION FOR THE PROTECTION OF THE ENVIRONMENT,046856456,BOSTON,MA,http://www.granthamfoundation.org/,(617) 453-8432,40 Rowes Wharf, Boston, MA 02110, USA,ChIJ6QT5Xodw44kR8f-Xs5em_zo
ROOTS AND WINGS FOUNDATION INC,320581904,SEATTLE,WA,http://www.fromrootstowings.com/,(206) 246-7544,306 SW 146th St, Burien, WA 98166, USA,ChIJ2f-GoH1DkFQRPJXtiS0_P0c
THE INVISIBLE HAND FOUNDATION,461550110,MIAMI,FL,http://www.miamifoundation.org/,(305) 371-2711,40 NW 3rd St #305, Miami, FL 33128, USA,ChIJ12_nj5222YgRotjoH8ZPJ7Y
WYNCOTE FOUNDATION,263535044,PHILADELPHIA,PA,http://www.wyncotefoundation.org/,(215) 557-9577,1717 Arch St, Philadelphia, PA 19103, USA,ChIJR-q2LDLGxokRSk3UJwhwkdY
KAVLI FOUNDATION,770560142,LOS ANGELES,CA,http://www.kavlifoundation.org/,(424) 353-8800,5715 Mesmer Ave, Los Angeles, CA 90230, USA,ChIJ9UvpMQ9M6IARjYtuTmbdbPw
PUBLIC WELFARE FOUNDATION INC,540597601,WASHINGTON,DC,https://www.publicwelfare.org/,(202) 965-1800,1200 U St NW #3, Washington, DC 20009, USA,ChIJyRhxDea3t4kRav99pGGEdLw
J A & KATHRYN ALBERTSON FOUNDATION INC,826012000,BOISE,ID,http://www.jkaf.org/,(208) 424-2600,501 Baybrook Ct, Boise, ID 83706, USA,ChIJ6fsitkz4rlQRTcZWW05PNW4
HEARTLAND WHOLE HEALTH INSTITUTE,834022137,BENTONVILLE,AR,https://heartlandwholehealth.org/,,850 Museum Way, Bentonville, AR 72712, USA,ChIJ856vlJwbyYcRxVA1jmuunFA
CATENA FOUNDATION,813783868,CARBONDALE,CO,http://www.carbondale.com/,(970) 963-1890,520 S 3rd St #3, Carbondale, CO 81623, USA,ChIJKVGHQN2rQYcRYSvS3wXYIJE
ANNE WOJCICKI FOUNDATION,471835703,LOS ALTOS,CA,http://www.pamf.org/losaltos/?medium=local&source=google_plus-local&campaign=local-Los-Altos-PAMF151,(650) 254-5200,370 Distel Cir, Los Altos, CA 94022, USA,ChIJe5wrk72wj4ARySBeYnWOsgY
SUE & EDGAR WACHENHEIM FOUNDATION,237011002,PURCHASE,NY,https://purchasehouse.com/,(914) 949-2636,3095 Purchase St, Purchase, NY 10577, USA,ChIJHwwDLUWWwokRP_9Ll0cvA0s
CIRCLE OF SERVICE FOUNDATION,364185939,CHICAGO,IL,https://www.cosfoundation.org/,(312) 897-1111,150 N Riverside Plaza Ste 2200, Chicago, IL 60606, USA,ChIJNz_5ubgsDogRmwN72GqIg_4
HENRY T NICHOLAS III FOUNDATION,207201390,ALISO VIEJO,CA,https://nicholas-endowment.org/,(949) 338-9611,5319 University Dr, Irvine, CA 92612, USA,ChIJAQAHSZTd3IARJRad9Z6BdJU
SARAH SCAIFE FOUNDATION INC,251113452,PITTSBURGH,PA,http://www.scaife.com/sarah.html,(412) 392-2900,1 Oxford Ctr, Pittsburgh, PA 15219, USA,ChIJUSLTHFOKNIgR-82vRdhttuE
LEON AND TOBY COOPERMAN FAMILY FOUNDATION,133102941,BOCA RATON,FL,https://ralesjfs.org/our-services/family-and-children/#cooper,(561) 852-3333,95th Ave S, Boca Raton, FL 33428, USA,ChIJGwrChfwb2YgRU234l25nICU
CHARLES AND MARGERY BARANCIK FOUNDATION,363442474,SARASOTA,FL,https://www.gulfcoastcf.org/,(941) 486-4600,601 S Tamiami Trl, Venice, FL 34285, USA,ChIJoyYELrhbw4gRMWPsb3TfG-I
SHRAMAN SOUTH ASIAN MUSEUM AND LEARNING CENTER FOUNDATION,460715559,DALLAS,TX,http://shraman.org/contact-impact,(214) 593-0512,2700 W Plano Pkwy, Plano, TX 75075, USA,ChIJq6pqu8MgTIYR3PVmkWw5bos
GROSS FAMILY CHARITABLE FOUNDATION,822674631,LAGUNA BEACH,CA,https://georgehoagfamilyfoundation.org/,(310) 664-1358,Suite 220, 2665 Main St #220, Santa Monica, CA 90405, USA,ChIJpyOvpNO6woARNKvrn8I8qCM
CLIF BAR FAMILY FOUNDATION,204345935,SAINT HELENA,CA,http://www.clifbarfamilyfoundation.org/Contact-Us,(510) 596-6383,1451 66th St, Emeryville, CA 94608, USA,ChIJNVGRPF9-hYARHh6vca3Tcic
JANE AND DANIEL OCH FAMILY FOUNDATION,263791338,GREENWICH,CT,https://www.brantfoundation.org/,(203) 869-0611,941 North Street, Greenwich, CT 06831, USA,ChIJE2HiUlqjwokRB7SytosXL5A
SIEGEL FAMILY ENDOWMENT INC,451742989,NEW YORK,NY,http://siegelendowment.org/,,100 6th Ave 16th floor, New York, NY 10013, USA,ChIJq6o6Y4tZwokRYKKsvsWmItc
EDWARD C JOHNSON FUND,046108344,BOSTON,MA,http://johnsonfund.org/contact/,(617) 748-5107,75 Federal St #1300, Boston, MA 02110, USA,ChIJG9Zcz4Nw44kRkHy2MPaY7NE
COLLEGE FUTURES FOUNDATION,942618667,OAKLAND,CA,http://www.collegefutures.org/,(415) 287-1800,1999 Harrison St Ste 1900, Oakland, CA 94612, USA,ChIJ17mcM2KAhYAR6EtJfomuHMk
MAXWELL HANRAHAN FOUNDATION,832118884,SAN FRANCISCO,CA,https://gggp.org/japanese-tea-garden/,(415) 661-1316,75 Hagiwara Tea Garden Dr, San Francisco, CA 94118, USA,ChIJhVvouY-AhYARt6oYQBabsr8
SCHARBAUER FOUNDATION INC,262527362,MIDLAND,TX,http://scharbauerfoundation.org/,(432) 683-2222,300 N Marienfeld St Ste 900, Midland, TX 79701, USA,ChIJZ08kSHzY-4YRThnPl3Bk2cE
KATE B REYNOLDS CHARITABLE TRUST,566036515,WINSTON SALEM,NC,http://www.kbr.org/,(336) 397-5500,128 Reynolda Vlg Wy, Winston-Salem, NC 27106, USA,ChIJo8tYnQKyU4gR9JYiwl0NtMg
SMITH RICHARDSON FOUNDATION INC,560611550,GREENSBORO,NC,http://www.srf.org/,(336) 379-8600,701 Green Valley Rd #306, Greensboro, NC 27408, USA,ChIJk6-RUaseU4gR-tSkQjCvQlw
JON AND KAREN HUNTSMAN FOUNDATION,742521914,SALT LAKE CTY,UT,https://huntsmancancer.org/giving/foundation/,(801) 584-5942,500 S, 500 Huntsman Way, Salt Lake City, UT 84108, USA,ChIJ8fAspc9fUocR2vXbO8WBWCI
